Association,From Connection,To Connection,From Object,To Object
core.DataSetDataFlow,OracleWB,Proglogic_ASTransformations,RAP01,Map_CDB_to_Policy_Model
core.DataSetDataFlow,OracleWB,Proglogic_ASTransformations,RAP03,Map_CDB_to_Policy_Model
core.DataSetDataFlow,OracleWB,Proglogic_ASTransformations,RAP05,Map_CDB_to_Policy_Model
core.DataSetDataFlow,OracleWB,Proglogic_ASTransformations,RAP14,Map_CDB_to_Policy_Model
core.DataSetDataFlow,OracleWB,Proglogic_ASTransformations,RAP22A,Map_CDB_to_Policy_Model
core.DataSetDataFlow,Proglogic_ASTransformations,Prologic_filestore,Map_CDB_to_Policy_Model,data/proglogic/as_policy1.json
core.DirectionalDataFlow,OracleWB,Proglogic_ASTransformations,RAP01/BADCK3,Map_CDB_to_Policy_Model/RangeChecker
core.DirectionalDataFlow,OracleWB,Proglogic_ASTransformations,RAP01/BADCK4,Map_CDB_to_Policy_Model/RangeChecker
core.DirectionalDataFlow,OracleWB,Proglogic_ASTransformations,RAP01/CANNB1,Map_CDB_to_Policy_Model/RangeChecker
core.DirectionalDataFlow,OracleWB,Proglogic_ASTransformations,RAP01/CANNB2,Map_CDB_to_Policy_Model/RangeChecker
core.DirectionalDataFlow,OracleWB,Proglogic_ASTransformations,RAP01/CANNB3,Map_CDB_to_Policy_Model/RangeChecker
core.DirectionalDataFlow,OracleWB,Proglogic_ASTransformations,RAP01/CANNB4,Map_CDB_to_Policy_Model/RangeChecker
core.DirectionalDataFlow,Proglogic_ASTransformations,Prologic_filestore,Map_CDB_to_Policy_Model/RangeChecker,data/proglogic/as_policy1.json/root/policy/billingInfo/rangeInfoArray/rangeInfo/rangeTotalNum
core.DirectionalDataFlow,OracleWB,Proglogic_ASTransformations,RAP01/EFFDAY,Map_CDB_to_Policy_Model/InceptionDateLogic
core.DirectionalDataFlow,Proglogic_ASTransformations,Prologic_filestore,Map_CDB_to_Policy_Model/InceptionDateLogic,data/proglogic/as_policy1.json/root/policy/originalPolicyInceptionDt
core.DirectionalDataFlow,OracleWB,Proglogic_ASTransformations,RAP14/PREMS_PREMTP,Map_CDB_to_Policy_Model/PremiumAmountChecker
core.DirectionalDataFlow,Proglogic_ASTransformations,Prologic_filestore,Map_CDB_to_Policy_Model/PremiumAmountChecker,data/proglogic/as_policy1.json/root/QuoteOrPolicyArray/QuoteOrPolicy/persAutoLineBusinessArray/persAutoLineBusiness/persAutoVehArray/persAutoVeh/coverage/limit/premiumInfo/PremiumTypeCd
