"class","identity","core.name","core.description","com.ldm.custom.swaggerapiv2.summary"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","[GET]:/catalog/models/dataTypes","List data types","Data Types"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_","[GET]:/catalog/models/dataTypes/{id}","Data type details","Data Type"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","[GET]:/catalog/models/associations","List associations","Associations"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_","[GET]:/catalog/models/associations/{id}","Association details","Association"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds","[GET]:/catalog/models/associationKinds","List association kinds","Association Kinds"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_","[GET]:/catalog/models/associationKinds/{id}","Association kind details","Association Kind"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","[GET]:/catalog/models/classes","List classes","Classes"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_","[GET]:/catalog/models/classes/{id}","Class details","Class"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes","[GET]:/catalog/models/referenceDataTypes","List reference data types","Reference Data Types"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_","[GET]:/catalog/models/referenceDataTypes/{id}","","Reference Data Type"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes","[GET]:/catalog/models/referenceAttributes","List reference attributes","Reference Attributes"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_referenceAttributes","[POST]:/catalog/models/referenceAttributes","Create new custom reference attributes.","Create Reference Attributes"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_","[PUT]:/catalog/models/referenceAttributes/{id}","Update a reference attribute. Indexing may be required after invoking this.","Update Reference Attribute"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_referenceAttributes__id_","[DELETE]:/catalog/models/referenceAttributes/{id}","","Delete Reference Attribute"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes__id_","[GET]:/catalog/models/referenceAttributes/{id}","Reference Attribute details","Reference Attribute"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Modification/_POST___catalog_models_attributes","[POST]:/catalog/models/attributes","Create new custom attributes.","Create Attributes"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes","[GET]:/catalog/models/attributes","List attributes","Attributes"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_attributes__id_","[PUT]:/catalog/models/attributes/{id}","Update an attribute. Indexing may be required after invoking this.","Update Attribute"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Modification/_DELETE___catalog_models_attributes__id_","[DELETE]:/catalog/models/attributes/{id}","","Delete Attribute"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_attributes__id_","[GET]:/catalog/models/attributes/{id}","Attribute details","Attribute"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_relationships","[GET]:/catalog/data/relationships","The objects endpoint returns objects stored in the catalog","Objects"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects","[GET]:/catalog/data/objects","The objects endpoint returns objects stored in the catalog","Objects"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects","[PUT]:/catalog/data/objects","Update multiple objects' custom properties.","Update Objects"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Object_Info/_GET___catalog_data_objects__id_","[GET]:/catalog/data/objects/{id}","Return details on a single object","Object"
"com.ldm.custom.swaggerapiv2.Endpoint","Catalog_Administrator_Public_REST_API/Object_Modification/_PUT___catalog_data_objects__id_","[PUT]:/catalog/data/objects/{id}","Update custom object properties","Update Object"
